2022,3,22,1,1,1,1,59000,1
2022,3,22,1,2,3,1,59000,2
2022,3,22,1,2,2,1,59000,3
2022,3,22,1,2,4,1,59000,1
2022,3,22,2,1,5,1,59000,5
2022,3,22,1,1,1,1,59000,6
2022,3,22,2,1,2,1,59000,1
2022,3,22,2,1,1,1,59000,1
2022,3,23,2,2,1,1,59000,2
2022,3,23,2,2,3,1,59000,2
2022,3,23,1,2,2,1,59000,3
2022,3,23,1,2,5,1,59000,6
2022,3,23,1,2,1,1,59000,5
2022,3,23,2,1,2,1,59000,4
2022,3,23,2,1,1,1,59000,4
2022,3,24,2,1,5,1,59000,2
2022,3,24,1,1,5,1,59000,1
2022,3,24,1,2,1,1,59000,1
2022,3,24,2,2,1,1,59000,1
2022,3,24,2,1,1,1,59000,1
